resolution    Li20nmW       Li30nmW       Li40nmW       Li50nmW       Li60nmW       Li80nmW       
0.000e+00      1.820e+01      3.039e+01      4.126e+01      4.821e+01      5.910e+01      8.085e+01      
5.000e-03      1.694e+01      3.033e+01      4.073e+01      4.818e+01      5.646e+01      7.586e+01      
8.000e-03      1.637e+01      3.028e+01      4.070e+01      4.817e+01      5.646e+01      7.586e+01      
1.000e-02      1.642e+01      3.025e+01      4.067e+01      4.816e+01      5.646e+01      7.585e+01      
1.200e-02      1.649e+01      3.018e+01      4.065e+01      4.816e+01      5.646e+01      7.585e+01      
1.500e-02      1.655e+01      3.002e+01      4.063e+01      4.814e+01      5.646e+01      7.585e+01      
2.000e-02      1.659e+01      2.974e+01      4.065e+01      4.808e+01      5.648e+01      7.583e+01      
2.500e-02      1.657e+01      2.968e+01      4.070e+01      4.800e+01      5.651e+01      7.583e+01      
3.000e-02      1.651e+01      2.967e+01      4.072e+01      4.797e+01      5.654e+01      7.581e+01      
3.500e-02      1.646e+01      2.968e+01      4.073e+01      4.796e+01      5.660e+01      7.581e+01      
4.000e-02      1.641e+01      2.971e+01      4.073e+01      4.794e+01      5.666e+01      7.581e+01      
5.000e-02      1.638e+01      2.978e+01      4.074e+01      4.792e+01      5.673e+01      7.583e+01      
