resolution    Li20nmW       Li30nmW       Li40nmW       Li50nmW       Li60nmW       Li80nmW       
0.000e+00      1.820e+01      3.039e+01      4.126e+01      4.821e+01      5.910e+01      8.085e+01      
5.000e-03      1.788e+01      3.036e+01      4.127e+01      4.822e+01      5.909e+01      8.085e+01      
8.000e-03      1.776e+01      3.036e+01      4.127e+01      4.824e+01      5.909e+01      8.085e+01      
1.000e-02      1.777e+01      3.037e+01      4.127e+01      4.825e+01      5.908e+01      8.085e+01      
1.200e-02      1.780e+01      3.043e+01      4.127e+01      4.825e+01      5.907e+01      8.083e+01      
1.500e-02      1.785e+01      3.057e+01      4.126e+01      4.827e+01      5.906e+01      8.083e+01      
2.000e-02      1.789e+01      3.080e+01      4.123e+01      4.829e+01      5.904e+01      8.083e+01      
2.500e-02      1.797e+01      3.094e+01      4.120e+01      4.832e+01      5.902e+01      8.082e+01      
3.000e-02      1.806e+01      3.101e+01      4.120e+01      4.835e+01      5.899e+01      8.080e+01      
3.500e-02      1.816e+01      3.104e+01      4.120e+01      4.839e+01      5.896e+01      8.080e+01      
4.000e-02      1.822e+01      3.106e+01      4.121e+01      4.841e+01      5.893e+01      8.078e+01      
5.000e-02      1.833e+01      3.108e+01      4.125e+01      4.844e+01      5.888e+01      8.074e+01      
