E,eV	N(E),part
0	9
180	10
360	9
540	11
720	17
900	15
1080	14
1260	12
1440	14
1620	12
1800	20
1980	14
2160	20
2340	17
2520	17
2700	20
2880	22
3060	26
3240	26
3420	33
3600	22
3780	36
3960	35
4140	43
4320	32
4500	42
4680	29
4860	46
5040	36
5220	41
5400	50
5580	45
5760	29
5940	52
6120	43
6300	50
6480	48
6660	48
6840	57
7020	51
7200	55
7380	55
7560	61
7740	49
7920	64
8100	55
8280	63
8460	55
8640	65
8820	60
9000	49
9180	57
9360	67
9540	39
9720	59
9900	52
10080	59
10260	61
10440	60
10620	66
10800	51
10980	46
11160	55
11340	64
11520	47
11700	52
11880	51
12060	58
12240	59
12420	68
12600	61
12780	56
12960	71
13140	72
13320	68
13500	81
13680	99
13860	92
14040	117
14220	114
14400	130
14580	168
14760	198
14940	200
15120	217
15300	256
15480	271
15660	285
15840	335
16020	322
16200	342
16380	306
16560	283
16740	284
16920	262
17100	234
17280	225
17460	159
17640	126
17820	0
18000	0
