E,eV	N(E),part
0	4
180	8
360	7
540	10
720	7
900	11
1080	17
1260	10
1440	17
1620	11
1800	17
1980	19
2160	16
2340	19
2520	20
2700	18
2880	15
3060	17
3240	22
3420	26
3600	18
3780	31
3960	21
4140	30
4320	30
4500	22
4680	37
4860	31
5040	40
5220	37
5400	32
5580	37
5760	38
5940	44
6120	36
6300	29
6480	31
6660	38
6840	41
7020	37
7200	47
7380	44
7560	41
7740	40
7920	44
8100	39
8280	41
8460	54
8640	48
8820	42
9000	47
9180	38
9360	47
9540	54
9720	52
9900	45
10080	56
10260	39
10440	51
10620	52
10800	48
10980	52
11160	51
11340	48
11520	69
11700	60
11880	52
12060	64
12240	69
12420	81
12600	72
12780	78
12960	84
13140	110
13320	105
13500	121
13680	135
13860	159
14040	175
14220	208
14400	234
14580	234
14760	266
14940	306
15120	308
15300	336
15480	337
15660	346
15840	321
16020	340
16200	314
16380	326
16560	300
16740	271
16920	248
17100	239
17280	215
17460	168
17640	158
17820	0
18000	0
