E,eV	N(E),part
0	15
180	5
360	11
540	16
720	16
900	26
1080	22
1260	23
1440	25
1620	24
1800	18
1980	36
2160	37
2340	39
2520	35
2700	42
2880	40
3060	40
3240	53
3420	46
3600	53
3780	68
3960	47
4140	71
4320	58
4500	75
4680	84
4860	82
5040	71
5220	90
5400	85
5580	93
5760	78
5940	90
6120	98
6300	100
6480	115
6660	102
6840	94
7020	108
7200	101
7380	103
7560	109
7740	127
7920	120
8100	117
8280	117
8460	115
8640	103
8820	114
9000	96
9180	83
9360	100
9540	106
9720	89
9900	95
10080	88
10260	85
10440	112
10620	74
10800	85
10980	76
11160	82
11340	76
11520	75
11700	68
11880	74
12060	70
12240	63
12420	56
12600	52
12780	60
12960	46
13140	48
13320	39
13500	60
13680	42
13860	42
14040	40
14220	28
14400	30
14580	35
14760	27
14940	23
15120	23
15300	22
15480	32
15660	32
15840	28
16020	29
16200	34
16380	33
16560	58
16740	60
16920	77
17100	118
17280	157
17460	186
17640	143
17820	0
18000	0
