resolution    H20W80        H30W70        H40W60        H50W50        H60W40        H70W30        H80W20        
0.000e+00      9.292e-02      1.823e-01      2.654e-01      3.837e-01      5.573e-01      6.866e-01      7.716e-01      
2.000e-03      4.253e-02      8.825e-02      1.354e-01      2.125e-01      3.516e-01      4.874e-01      5.959e-01      
5.000e-03      1.814e-02      3.894e-02      6.117e-02      1.012e-01      1.825e-01      2.837e-01      3.840e-01      
8.000e-03      1.068e-02      2.448e-02      3.860e-02      6.635e-02      1.248e-01      2.083e-01      2.926e-01      
1.000e-02      8.659e-03      2.081e-02      3.285e-02      5.854e-02      1.127e-01      1.918e-01      2.689e-01      
1.500e-02      8.616e-03      2.130e-02      3.361e-02      6.119e-02      1.184e-01      2.030e-01      2.817e-01      
2.000e-02      9.339e-03      2.318e-02      3.696e-02      6.724e-02      1.293e-01      2.206e-01      3.036e-01      
2.500e-02      1.000e-02      2.487e-02      4.007e-02      7.266e-02      1.394e-01      2.360e-01      3.233e-01      
3.000e-02      1.059e-02      2.635e-02      4.294e-02      7.758e-02      1.491e-01      2.496e-01      3.408e-01      
3.500e-02      1.110e-02      2.768e-02      4.563e-02      8.209e-02      1.581e-01      2.617e-01      3.560e-01      
4.000e-02      1.155e-02      2.887e-02      4.812e-02      8.619e-02      1.662e-01      2.723e-01      3.693e-01      
4.500e-02      1.194e-02      2.993e-02      5.040e-02      8.989e-02      1.734e-01      2.816e-01      3.809e-01      
5.000e-02      1.226e-02      3.089e-02      5.245e-02      9.319e-02      1.798e-01      2.897e-01      3.909e-01      
