Energy,keV ConvInt convWidth convArea NumDeconvInt SimDeconvInt
 1.000e+00  1.049e-01 -7.042e-03  1.575e+01  1.000e+00  1.000e+00
 2.000e+00  2.053e-01  1.408e-02  3.150e+01  9.838e-01  9.995e-01
 3.000e+00  3.000e-01  4.225e-02  4.726e+01  9.590e-01  9.994e-01
 4.000e+00  3.867e-01  7.746e-02  6.301e+01  9.274e-01  9.994e-01
 5.000e+00  4.643e-01  1.268e-01  7.876e+01  8.910e-01  9.994e-01
 6.000e+00  5.327e-01  1.690e-01  9.451e+01  8.519e-01  9.994e-01
 7.000e+00  5.922e-01  2.324e-01  1.103e+02  8.117e-01  9.995e-01
 8.000e+00  6.434e-01  2.958e-01  1.260e+02  7.717e-01  9.995e-01
 9.000e+00  6.874e-01  3.662e-01  1.418e+02  7.329e-01  9.995e-01
 1.000e+01  7.250e-01  4.366e-01  1.575e+02  6.957e-01  9.993e-01
 1.100e+01  7.572e-01  5.141e-01  1.733e+02  6.605e-01  9.989e-01
 1.200e+01  7.848e-01  5.915e-01  1.890e+02  6.275e-01  9.984e-01
 1.300e+01  8.085e-01  6.761e-01  2.047e+02  5.967e-01  9.965e-01
 1.400e+01  8.289e-01  7.606e-01  2.205e+02  5.681e-01  9.943e-01
 1.500e+01  8.466e-01  8.592e-01  2.362e+02  5.415e-01  9.923e-01
 1.600e+01  8.620e-01  9.577e-01  2.520e+02  5.169e-01  9.899e-01
 1.700e+01  8.755e-01  1.070e+00  2.677e+02  4.942e-01  9.888e-01
 1.800e+01  8.876e-01  1.190e+00  2.834e+02  4.732e-01  9.789e-01
 1.900e+01  8.985e-01  1.345e+00  2.992e+02  4.538e-01  9.670e-01
 2.000e+01  9.087e-01  1.535e+00  3.149e+02  4.360e-01  9.595e-01
 2.100e+01  9.185e-01  1.810e+00  3.306e+02  4.197e-01  9.518e-01
 2.200e+01  9.283e-01  7.497e+01  3.464e+02  4.049e-01  9.438e-01
 2.300e+01  9.382e-01  7.823e+01  3.621e+02  3.914e-01  9.406e-01
 2.400e+01  9.486e-01  8.175e+01  3.779e+02  3.793e-01  9.422e-01
 2.500e+01  9.599e-01  8.527e+01  3.936e+02  3.684e-01  9.318e-01
 2.600e+01  9.721e-01  8.879e+01  4.093e+02  3.587e-01  9.688e-01
 2.700e+01  9.854e-01  9.231e+01  4.251e+02  3.502e-01  9.245e-01
 2.800e+01  1.000e+00  9.583e+01  4.408e+02  3.427e-01  7.569e-01
 0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
