Energy,keV ConvInt convWidth convArea NumDeconvInt SimDeconvInt
 1.000e+00  4.057e-02 -1.408e-02  6.059e+00  1.000e+00  9.988e-01
 2.000e+00  8.065e-02 -7.042e-03  1.212e+01  9.988e-01  1.000e+00
 3.000e+00  1.207e-01 -7.042e-03  1.818e+01  9.976e-01  9.998e-01
 4.000e+00  1.607e-01  0.000e+00  2.424e+01  9.960e-01  9.998e-01
 5.000e+00  2.004e-01  0.000e+00  3.030e+01  9.940e-01  9.997e-01
 6.000e+00  2.399e-01  0.000e+00  3.636e+01  9.917e-01  9.997e-01
 7.000e+00  2.791e-01  0.000e+00  4.242e+01  9.889e-01  9.997e-01
 8.000e+00  3.179e-01  1.408e-02  4.847e+01  9.857e-01  9.997e-01
 9.000e+00  3.564e-01  1.408e-02  5.453e+01  9.822e-01  9.996e-01
 1.000e+01  3.944e-01  1.408e-02  6.059e+01  9.783e-01  9.996e-01
 1.100e+01  4.320e-01  2.113e-02  6.665e+01  9.741e-01  9.996e-01
 1.200e+01  4.690e-01  2.113e-02  7.271e+01  9.695e-01  9.996e-01
 1.300e+01  5.056e-01  3.521e-02  7.877e+01  9.646e-01  9.995e-01
 1.400e+01  5.415e-01  3.521e-02  8.483e+01  9.593e-01  9.995e-01
 1.500e+01  5.768e-01  4.225e-02  9.089e+01  9.538e-01  9.995e-01
 1.600e+01  6.115e-01  4.930e-02  9.695e+01  9.480e-01  9.995e-01
 1.700e+01  6.456e-01  4.930e-02  1.030e+02  9.420e-01  9.995e-01
 1.800e+01  6.790e-01  6.338e-02  1.091e+02  9.357e-01  9.995e-01
 1.900e+01  7.118e-01  7.042e-02  1.151e+02  9.291e-01  9.995e-01
 2.000e+01  7.438e-01  7.746e-02  1.212e+02  9.224e-01  9.995e-01
 2.100e+01  7.751e-01  9.155e-02  1.272e+02  9.155e-01  9.995e-01
 2.200e+01  8.057e-01  9.155e-02  1.333e+02  9.084e-01  9.995e-01
 2.300e+01  8.356e-01  1.056e-01  1.394e+02  9.012e-01  9.995e-01
 2.400e+01  8.648e-01  1.127e-01  1.454e+02  8.938e-01  9.995e-01
 2.500e+01  8.933e-01  1.197e-01  1.515e+02  8.863e-01  9.995e-01
 2.600e+01  9.210e-01  1.338e-01  1.575e+02  8.786e-01  9.995e-01
 2.700e+01  9.481e-01  1.408e-01  1.636e+02  8.709e-01  9.995e-01
 2.800e+01  9.744e-01  1.479e-01  1.696e+02  8.631e-01  9.995e-01
 0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
