Energy,keV ConvInt convWidth convArea NumDeconvInt SimDeconvInt
 1.000e+00  4.827e-02 -1.408e-02  7.213e+00  1.000e+00  1.000e+00
 2.000e+00  9.588e-02 -7.042e-03  1.443e+01  9.978e-01  9.995e-01
 3.000e+00  1.433e-01  0.000e+00  2.164e+01  9.949e-01  9.994e-01
 4.000e+00  1.902e-01  0.000e+00  2.885e+01  9.910e-01  9.993e-01
 5.000e+00  2.366e-01  7.042e-03  3.607e+01  9.862e-01  9.993e-01
 6.000e+00  2.822e-01  1.408e-02  4.328e+01  9.803e-01  9.992e-01
 7.000e+00  3.270e-01  2.113e-02  5.049e+01  9.736e-01  9.992e-01
 8.000e+00  3.708e-01  2.817e-02  5.771e+01  9.659e-01  9.992e-01
 9.000e+00  4.135e-01  4.225e-02  6.492e+01  9.575e-01  9.992e-01
 1.000e+01  4.550e-01  4.930e-02  7.213e+01  9.484e-01  9.991e-01
 1.100e+01  4.953e-01  5.634e-02  7.935e+01  9.386e-01  9.991e-01
 1.200e+01  5.344e-01  7.042e-02  8.656e+01  9.282e-01  9.991e-01
 1.300e+01  5.721e-01  8.451e-02  9.377e+01  9.172e-01  9.991e-01
 1.400e+01  6.085e-01  9.859e-02  1.010e+02  9.059e-01  9.991e-01
 1.500e+01  6.435e-01  1.127e-01  1.082e+02  8.941e-01  9.990e-01
 1.600e+01  6.771e-01  1.268e-01  1.154e+02  8.820e-01  9.990e-01
 1.700e+01  7.094e-01  1.479e-01  1.226e+02  8.697e-01  9.990e-01
 1.800e+01  7.403e-01  1.620e-01  1.298e+02  8.572e-01  9.990e-01
 1.900e+01  7.698e-01  1.761e-01  1.371e+02  8.445e-01  9.990e-01
 2.000e+01  7.981e-01  1.901e-01  1.443e+02  8.317e-01  9.990e-01
 2.100e+01  8.251e-01  2.183e-01  1.515e+02  8.189e-01  9.990e-01
 2.200e+01  8.509e-01  2.324e-01  1.587e+02  8.061e-01  9.991e-01
 2.300e+01  8.754e-01  2.535e-01  1.659e+02  7.933e-01  9.991e-01
 2.400e+01  8.988e-01  2.746e-01  1.731e+02  7.806e-01  9.990e-01
 2.500e+01  9.211e-01  2.958e-01  1.803e+02  7.679e-01  9.990e-01
 2.600e+01  9.423e-01  3.169e-01  1.875e+02  7.554e-01  9.990e-01
 2.700e+01  9.625e-01  3.380e-01  1.948e+02  7.430e-01  9.990e-01
 2.800e+01  9.817e-01  3.592e-01  2.020e+02  7.308e-01  9.990e-01
 0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
