Energy,keV ConvInt convWidth convArea NumDeconvInt SimDeconvInt
 1.000e+00  3.739e-02 -2.119e-02  9.162e+00  1.000e+00  9.991e-01
 2.000e+00  7.370e-02 -8.475e-03  1.839e+01  9.993e-01  1.000e+00
 3.000e+00  1.102e-01 -4.237e-03  2.758e+01  9.987e-01  9.998e-01
 4.000e+00  1.467e-01  0.000e+00  3.678e+01  9.981e-01  9.998e-01
 5.000e+00  1.832e-01  0.000e+00  4.597e+01  9.973e-01  9.997e-01
 6.000e+00  2.196e-01  4.237e-03  5.517e+01  9.965e-01  9.997e-01
 7.000e+00  2.559e-01  0.000e+00  6.436e+01  9.954e-01  9.997e-01
 8.000e+00  2.921e-01  4.237e-03  7.355e+01  9.942e-01  9.996e-01
 9.000e+00  3.281e-01  4.237e-03  8.275e+01  9.929e-01  9.996e-01
 1.000e+01  3.640e-01  8.475e-03  9.194e+01  9.915e-01  9.996e-01
 1.100e+01  3.998e-01  8.475e-03  1.011e+02  9.899e-01  9.996e-01
 1.200e+01  4.353e-01  8.475e-03  1.103e+02  9.881e-01  9.996e-01
 1.300e+01  4.707e-01  1.271e-02  1.195e+02  9.862e-01  9.996e-01
 1.400e+01  5.059e-01  1.271e-02  1.287e+02  9.842e-01  9.996e-01
 1.500e+01  5.408e-01  1.695e-02  1.379e+02  9.820e-01  9.995e-01
 1.600e+01  5.755e-01  2.119e-02  1.471e+02  9.797e-01  9.995e-01
 1.700e+01  6.100e-01  2.119e-02  1.563e+02  9.773e-01  9.995e-01
 1.800e+01  6.442e-01  2.542e-02  1.655e+02  9.748e-01  9.995e-01
 1.900e+01  6.781e-01  2.542e-02  1.747e+02  9.721e-01  9.995e-01
 2.000e+01  7.117e-01  2.966e-02  1.839e+02  9.693e-01  9.995e-01
 2.100e+01  7.451e-01  3.390e-02  1.931e+02  9.664e-01  9.995e-01
 2.200e+01  7.781e-01  3.390e-02  2.023e+02  9.634e-01  9.995e-01
 2.300e+01  8.108e-01  4.237e-02  2.115e+02  9.602e-01  9.995e-01
 2.400e+01  8.432e-01  4.237e-02  2.207e+02  9.570e-01  9.995e-01
 2.500e+01  8.753e-01  5.085e-02  2.299e+02  9.537e-01  9.995e-01
 2.600e+01  9.070e-01  5.085e-02  2.390e+02  9.502e-01  9.995e-01
 2.700e+01  9.384e-01  5.508e-02  2.482e+02  9.467e-01  9.995e-01
 2.800e+01  9.694e-01  5.932e-02  2.574e+02  9.430e-01  9.995e-01
 0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
