resolution    Li10nmW       Li20nmW       Li30nmW       Li40nmW       Li50nmW       Li5nmW        Li60nmW       Li70nmW       Li80nmW       
0.000e+00      9.753e+00      1.720e+01      2.597e+01      3.811e+01      5.335e+01      1.008e+01      6.353e+01      7.166e+01      7.545e+01      
2.000e-03      9.707e+00      1.721e+01      2.599e+01      3.806e+01      5.334e+01      1.008e+01      6.353e+01      7.166e+01      7.654e+01      
5.000e-03      9.630e+00      1.720e+01      2.600e+01      3.809e+01      5.330e+01      1.002e+01      6.352e+01      7.166e+01      7.545e+01      
8.000e-03      9.623e+00      1.723e+01      2.598e+01      3.810e+01      5.324e+01      9.902e+00      6.352e+01      7.166e+01      7.544e+01      
1.000e-02      9.623e+00      1.723e+01      2.597e+01      3.807e+01      5.306e+01      9.817e+00      6.352e+01      7.166e+01      7.544e+01      
1.500e-02      9.630e+00      1.721e+01      2.595e+01      3.795e+01      5.303e+01      9.772e+00      6.350e+01      7.166e+01      7.543e+01      
2.000e-02      9.681e+00      1.715e+01      2.592e+01      3.778e+01      5.299e+01      9.772e+00      6.349e+01      7.166e+01      7.543e+01      
2.500e-02      9.785e+00      1.707e+01      2.589e+01      3.756e+01      5.293e+01      9.727e+00      6.347e+01      7.166e+01      7.542e+01      
3.000e-02      9.973e+00      1.698e+01      2.583e+01      3.745e+01      5.283e+01      9.578e+00      6.345e+01      7.166e+01      7.541e+01      
3.500e-02      1.021e+01      1.689e+01      2.574e+01      3.740e+01      5.270e+01      9.299e+00      6.343e+01      7.166e+01      7.541e+01      
4.000e-02      1.032e+01      1.676e+01      2.560e+01      3.737e+01      5.256e+01      8.936e+00      6.341e+01      7.166e+01      7.540e+01      
4.500e-02      1.034e+01      1.662e+01      2.541e+01      3.734e+01      5.239e+01      8.690e+00      6.340e+01      7.166e+01      7.540e+01      
5.000e-02      1.034e+01      1.646e+01      2.519e+01      3.733e+01      5.223e+01      8.599e+00      6.340e+01      7.166e+01      7.540e+01      
