resolution    Li10nmW       Li20nmW       Li30nmW       Li40nmW       Li50nmW       Li5nmW        Li60nmW       Li70nmW       Li80nmW       
0.000e+00      9.753e+00      1.720e+01      2.597e+01      3.811e+01      5.335e+01      1.008e+01      6.353e+01      7.166e+01      7.545e+01      
2.000e-03      9.532e+00      1.293e+01      2.315e+01      3.667e+01      5.063e+01      6.610e+00      6.286e+01      6.963e+01      7.267e+01      
5.000e-03      9.526e+00      1.288e+01      2.249e+01      3.665e+01      5.064e+01      6.681e+00      6.286e+01      6.963e+01      7.267e+01      
8.000e-03      9.519e+00      1.288e+01      2.255e+01      3.659e+01      5.065e+01      6.655e+00      6.286e+01      6.963e+01      7.267e+01      
1.000e-02      9.513e+00      1.291e+01      2.262e+01      3.656e+01      5.065e+01      6.623e+00      6.286e+01      6.902e+01      7.267e+01      
1.500e-02      9.474e+00      1.297e+01      2.268e+01      3.655e+01      5.069e+01      6.545e+00      6.286e+01      6.902e+01      7.264e+01      
2.000e-02      9.422e+00      1.301e+01      2.271e+01      3.655e+01      5.070e+01      6.441e+00      6.284e+01      6.904e+01      7.258e+01      
2.500e-02      9.338e+00      1.317e+01      2.273e+01      3.657e+01      5.071e+01      6.383e+00      6.282e+01      6.904e+01      7.257e+01      
3.000e-02      9.195e+00      1.643e+01      2.277e+01      3.660e+01      5.071e+01      6.415e+00      6.280e+01      6.905e+01      7.256e+01      
3.500e-02      9.014e+00      1.364e+01      2.285e+01      3.663e+01      5.070e+01      6.526e+00      6.279e+01      6.906e+01      7.256e+01      
4.000e-02      8.891e+00      1.373e+01      2.297e+01      3.664e+01      5.068e+01      6.675e+00      6.277e+01      6.908e+01      7.256e+01      
4.500e-02      8.852e+00      1.406e+01      2.311e+01      3.663e+01      5.066e+01      6.830e+00      6.275e+01      6.911e+01      7.255e+01      
5.000e-02      8.852e+00      1.437e+01      2.328e+01      3.662e+01      5.063e+01      6.973e+00      6.273e+01      6.914e+01      7.254e+01      
