resolution    Li10nmW       Li20nmW       Li30nmW       Li40nmW       Li50nmW       Li5nmW        Li60nmW       Li70nmW       Li80nmW       
0.000e+00      1.071e+01      1.815e+01      2.593e+01      3.767e+01      5.336e+01      1.117e+01      6.326e+01      7.138e+01      7.447e+01      
2.000e-03      6.804e+00      1.638e+01      2.290e+01      3.605e+01      5.041e+01      6.966e+00      6.326e+01      6.973e+01      7.061e+01      
5.000e-03      9.118e+00      1.638e+01      2.291e+01      3.611e+01      5.040e+01      7.005e+00      6.326e+01      6.973e+01      7.061e+01      
8.000e-03      9.085e+00      1.336e+01      2.287e+01      3.615e+01      5.039e+01      6.999e+00      6.326e+01      6.973e+01      7.061e+01      
1.000e-02      9.085e+00      1.323e+01      2.287e+01      3.618e+01      5.037e+01      6.966e+00      6.328e+01      6.973e+01      7.061e+01      
1.500e-02      9.215e+00      1.310e+01      2.287e+01      3.622e+01      5.124e+01      6.837e+00      6.331e+01      6.973e+01      7.447e+01      
2.000e-02      9.344e+00      1.308e+01      2.286e+01      3.623e+01      5.122e+01      6.668e+00      6.333e+01      6.973e+01      7.447e+01      
2.500e-02      9.351e+00      1.309e+01      2.282e+01      3.626e+01      5.113e+01      6.506e+00      6.334e+01      6.973e+01      7.447e+01      
3.000e-02      9.260e+00      1.323e+01      2.280e+01      3.630e+01      5.095e+01      6.448e+00      6.334e+01      6.973e+01      7.447e+01      
3.500e-02      9.092e+00      1.349e+01      2.284e+01      3.639e+01      5.078e+01      6.519e+00      6.333e+01      6.972e+01      7.447e+01      
4.000e-02      8.930e+00      1.367e+01      2.293e+01      3.650e+01      5.075e+01      6.655e+00      6.332e+01      6.971e+01      7.447e+01      
4.500e-02      8.865e+00      1.396e+01      2.308e+01      3.657e+01      5.072e+01      6.817e+00      6.329e+01      6.970e+01      7.447e+01      
5.000e-02      8.858e+00      1.433e+01      2.325e+01      3.661e+01      5.069e+01      6.960e+00      6.326e+01      6.969e+01      7.447e+01      
