resolution    Li10nmW       Li20nmW       Li30nmW       Li40nmW       Li50nmW       Li5nmW        Li60nmW       Li70nmW       Li80nmW       Li90nmW       
0.000e+00      6.368e+00      1.832e+01      3.312e+01      4.123e+01      4.852e+01      2.067e+00      5.912e+01      7.223e+01      8.162e+01      8.347e+01      
2.000e-03      6.394e+00      1.820e+01      3.205e+01      4.126e+01      4.821e+01      4.900e+00      5.637e+01      6.907e+01      7.585e+01      5.422e+01      
5.000e-03      6.421e+00      1.815e+01      3.040e+01      4.126e+01      4.822e+01      3.373e+00      5.919e+01      6.680e+01      7.386e+01      6.650e+01      
8.000e-03      6.064e+00      1.811e+01      3.036e+01      4.124e+01      4.822e+01      4.994e+00      5.909e+01      7.056e+01      7.378e+01      6.641e+01      
1.000e-02      6.130e+00      1.791e+01      3.039e+01      4.124e+01      4.821e+01      5.088e+00      5.912e+01      7.049e+01      7.607e+01      7.262e+01      
1.500e-02      1.153e+01      1.761e+01      3.036e+01      4.129e+01      4.821e+01      4.954e+00      5.916e+01      7.212e+01      7.846e+01      7.720e+01      
2.000e-02      1.155e+01      1.790e+01      3.044e+01      4.130e+01      4.822e+01      4.290e+00      5.911e+01      7.213e+01      8.015e+01      8.060e+01      
2.500e-02      1.175e+01      1.824e+01      3.046e+01      4.128e+01      4.826e+01      3.180e+00      5.915e+01      7.215e+01      8.052e+01      8.336e+01      
3.000e-02      1.178e+01      1.778e+01      3.041e+01      4.125e+01      4.831e+01      3.758e+00      5.911e+01      7.201e+01      8.041e+01      8.331e+01      
3.500e-02      6.724e+00      1.746e+01      3.042e+01      4.126e+01      4.830e+01      3.867e+00      5.912e+01      7.194e+01      8.032e+01      8.370e+01      
4.000e-02      5.477e+00      1.749e+01      3.043e+01      4.128e+01      4.827e+01      4.222e+00      5.909e+01      7.198e+01      8.027e+01      8.366e+01      
4.500e-02      6.566e+00      1.783e+01      3.044e+01      4.132e+01      4.825e+01      3.689e+00      5.904e+01      7.201e+01      8.020e+01      8.362e+01      
5.000e-02      3.593e+00      1.816e+01      3.052e+01      4.124e+01      4.825e+01      4.508e+00      5.898e+01      7.196e+01      8.032e+01      8.359e+01      
