resolution    Li10nmW       Li20nmW       Li30nmW       Li40nmW       Li50nmW       Li5nmW        Li60nmW       Li70nmW       Li80nmW       Li90nmW       
0.000e+00      6.368e+00      1.832e+01      3.312e+01      4.123e+01      4.852e+01      2.067e+00      5.912e+01      7.223e+01      8.162e+01      8.347e+01      
2.000e-03      6.368e+00      1.828e+01      3.203e+01      4.123e+01      4.852e+01      4.873e+00      5.912e+01      7.223e+01      8.448e+01      8.509e+01      
5.000e-03      6.156e+00      1.808e+01      3.036e+01      4.126e+01      4.821e+01      4.913e+00      5.912e+01      7.223e+01      8.162e+01      8.509e+01      
8.000e-03      6.077e+00      1.788e+01      3.036e+01      4.126e+01      4.822e+01      4.805e+00      5.913e+01      7.223e+01      8.162e+01      8.349e+01      
1.000e-02      6.289e+00      1.778e+01      3.036e+01      4.126e+01      4.822e+01      4.453e+00      5.913e+01      7.223e+01      8.162e+01      8.509e+01      
1.500e-02      6.024e+00      1.784e+01      3.057e+01      4.126e+01      4.824e+01      3.703e+00      5.912e+01      7.223e+01      8.162e+01      8.509e+01      
2.000e-02      5.984e+00      1.789e+01      3.080e+01      4.123e+01      4.828e+01      3.744e+00      5.910e+01      7.222e+01      8.162e+01      8.509e+01      
2.500e-02      6.050e+00      1.797e+01      3.093e+01      4.120e+01      4.831e+01      3.785e+00      5.907e+01      7.219e+01      8.162e+01      8.509e+01      
3.000e-02      6.315e+00      1.806e+01      3.100e+01      4.119e+01      4.835e+01      3.881e+00      5.905e+01      7.213e+01      8.162e+01      8.509e+01      
3.500e-02      6.776e+00      1.815e+01      3.104e+01      4.120e+01      4.838e+01      4.018e+00      5.901e+01      7.202e+01      8.160e+01      8.509e+01      
4.000e-02      7.195e+00      1.822e+01      3.105e+01      4.121e+01      4.840e+01      4.168e+00      5.897e+01      7.192e+01      8.160e+01      8.509e+01      
4.500e-02      7.455e+00      1.827e+01      3.107e+01      4.123e+01      4.842e+01      4.318e+00      5.892e+01      7.189e+01      8.158e+01      8.509e+01      
5.000e-02      7.611e+00      1.832e+01      3.107e+01      4.125e+01      4.844e+01      4.467e+00      5.889e+01      7.188e+01      8.020e+01      8.509e+01      
