E,eV	N,part
0	48534
10	17278
20	4811
30	2017
40	1125
50	616
60	431
70	296
80	238
90	180
100	128
110	121
120	102
130	82
140	76
150	71
160	59
170	45
180	41
190	54
200	35
210	27
220	30
230	24
240	33
250	16
260	23
270	21
280	17
290	13
300	11
310	13
320	21
330	11
340	13
350	14
360	8
370	7
380	14
390	11
400	10
410	2
420	10
430	4
440	7
450	8
460	6
470	10
480	5
490	7
500	4
510	9
520	6
530	1
540	2
550	8
560	5
570	6
580	6
590	5
600	4
610	8
620	5
630	4
640	3
650	2
660	9
670	3
680	4
690	4
700	4
710	1
720	1
730	4
740	3
750	4
760	2
770	4
780	3
790	5
800	0
810	0
820	4
830	2
840	2
850	1
860	3
870	4
880	1
890	1
900	3
910	1
920	2
930	2
940	3
950	1
960	1
970	1
980	3
990	2
1000	4
1010	4
1020	1
1030	1
1040	0
1050	2
1060	0
1070	1
1080	0
1090	2
1100	2
1110	1
1120	2
1130	1
1140	3
1150	3
1160	4
1170	1
1180	6
1190	2
1200	9
1210	3
1220	4
1230	3
1240	5
1250	2
1260	6
1270	3
1280	7
1290	8
1300	14
1310	18
1320	19
1330	71
1340	441
1350	498
1360	514
1370	511
1380	489
1390	479
1400	437
1410	441
1420	409
1430	50
1440	14
1450	4
1460	9
1470	1
1480	5
1490	1
1500	2
1510	1
1520	1
1530	2
1540	2
1550	1
1560	2
1570	1
1580	2
1590	1
1600	1
1610	1
1620	0
1630	0
1640	0
1650	0
1660	3
1670	0
1680	2
1690	0
1700	0
1710	0
1720	2
1730	0
1740	0
1750	0
1760	1
1770	0
1780	0
1790	0
1800	1
1810	1
1820	0
1830	0
1840	1
1850	1
1860	1
1870	0
1880	1
1890	1
1900	1
1910	1
1920	1
1930	2
1940	0
1950	0
1960	1
1970	0
1980	0
1990	0
2000	0
2010	0
2020	0
2030	1
2040	1
2050	3
2060	0
2070	1
2080	1
2090	0
2100	1
2110	1
2120	0
2130	0
2140	0
2150	0
2160	0
2170	1
2180	0
2190	0
2200	2
2210	0
2220	1
2230	0
2240	0
2250	0
2260	0
2270	2
2280	0
2290	1
2300	2
2310	1
2320	0
2330	2
2340	1
2350	0
2360	0
2370	1
2380	1
2390	0
2400	1
2410	1
2420	3
2430	5
2440	1
2450	2
2460	1
2470	4
2480	1
2490	2
2500	3
2510	3
2520	6
2530	11
2540	36
2550	115
2560	131
2570	104
2580	105
2590	118
2600	111
2610	111
2620	108
2630	123
2640	104
2650	105
2660	104
2670	124
2680	96
2690	95
2700	99
2710	96
2720	11
2730	2
