resolution    Gd10Ba10Co80  Gd20Ba10Co70  Gd20Ba20Co60  Gd30Ba40Co30  Gd40Ba40Co20  Gd70Ba10Co20  Gd80Ba10Co10  
0.000e+00      8.486e-01      7.260e-01      6.080e-01      2.751e-01      1.604e-01      1.359e-01      2.863e-02      
2.000e-03      6.800e-01      5.001e-01      3.729e-01      1.215e-01      5.505e-02      3.585e-02      -9.255e-03     
5.000e-03      6.802e-01      5.003e-01      3.732e-01      1.201e-01      5.564e-02      3.651e-02      -8.754e-03     
1.000e-02      6.814e-01      5.015e-01      3.748e-01      1.192e-01      5.742e-02      3.693e-02      -8.726e-03     
1.500e-02      6.838e-01      5.041e-01      3.782e-01      1.198e-01      5.930e-02      3.786e-02      -9.062e-03     
2.000e-02      6.874e-01      5.079e-01      3.831e-01      1.218e-01      6.107e-02      3.916e-02      -9.418e-03     
2.500e-02      6.917e-01      5.124e-01      3.888e-01      1.246e-01      6.254e-02      4.036e-02      -9.943e-03     
3.000e-02      6.961e-01      5.168e-01      3.943e-01      1.278e-01      6.370e-02      4.117e-02      -1.072e-02     
3.500e-02      7.001e-01      5.206e-01      3.991e-01      1.305e-01      6.445e-02      4.146e-02      -1.176e-02     
4.000e-02      7.033e-01      5.235e-01      4.027e-01      1.326e-01      6.469e-02      4.119e-02      -1.304e-02     
4.500e-02      7.058e-01      5.253e-01      4.050e-01      1.337e-01      6.435e-02      4.040e-02      -1.453e-02     
5.000e-02      7.074e-01      5.262e-01      4.061e-01      1.337e-01      6.343e-02      3.915e-02      -1.621e-02     
