resolution    Gd10Ba10Co80  Gd20Ba10Co70  Gd20Ba20Co60  Gd30Ba40Co30  Gd40Ba40Co20  Gd70Ba10Co20  Gd80Ba10Co10  
0.000e+00      7.676e-01      6.496e-01      5.476e-01      2.662e-01      1.800e-01      1.710e-01      7.929e-02      
2.000e-03      7.618e-01      6.419e-01      5.392e-01      2.597e-01      1.748e-01      1.655e-01      7.644e-02      
5.000e-03      7.679e-01      6.498e-01      5.477e-01      2.664e-01      1.798e-01      1.707e-01      7.914e-02      
1.000e-02      7.678e-01      6.496e-01      5.474e-01      2.663e-01      1.795e-01      1.704e-01      7.909e-02      
1.500e-02      7.675e-01      6.498e-01      5.475e-01      2.664e-01      1.795e-01      1.705e-01      7.923e-02      
2.000e-02      7.675e-01      6.497e-01      5.473e-01      2.663e-01      1.794e-01      1.705e-01      7.918e-02      
2.500e-02      7.683e-01      6.510e-01      5.485e-01      2.673e-01      1.804e-01      1.716e-01      7.979e-02      
3.000e-02      7.677e-01      6.506e-01      5.480e-01      2.666e-01      1.800e-01      1.717e-01      7.986e-02      
3.500e-02      7.668e-01      6.497e-01      5.467e-01      2.654e-01      1.787e-01      1.715e-01      7.967e-02      
4.000e-02      7.651e-01      6.479e-01      5.444e-01      2.632e-01      1.767e-01      1.704e-01      7.921e-02      
4.500e-02      7.642e-01      6.473e-01      5.432e-01      2.616e-01      1.757e-01      1.706e-01      7.942e-02      
5.000e-02      7.642e-01      6.480e-01      5.433e-01      2.611e-01      1.757e-01      1.717e-01      8.006e-02      
