resolution    Gd10Ba10Co80  Gd20Ba10Co70  Gd20Ba20Co60  Gd30Ba40Co30  Gd40Ba40Co20  Gd70Ba10Co20  Gd80Ba10Co10  
0.000e+00      8.486e-01      7.260e-01      6.080e-01      2.751e-01      1.604e-01      1.359e-01      2.863e-02      
2.000e-03      8.483e-01      7.259e-01      6.080e-01      2.739e-01      1.604e-01      1.372e-01      2.919e-02      
5.000e-03      8.483e-01      7.260e-01      6.084e-01      2.731e-01      1.612e-01      1.380e-01      2.990e-02      
1.000e-02      8.493e-01      7.271e-01      6.105e-01      2.738e-01      1.640e-01      1.392e-01      3.033e-02      
1.500e-02      8.510e-01      7.293e-01      6.141e-01      2.767e-01      1.675e-01      1.414e-01      3.061e-02      
2.000e-02      8.534e-01      7.326e-01      6.192e-01      2.817e-01      1.717e-01      1.445e-01      3.112e-02      
2.500e-02      8.563e-01      7.364e-01      6.251e-01      2.880e-01      1.760e-01      1.477e-01      3.157e-02      
3.000e-02      8.593e-01      7.402e-01      6.309e-01      2.946e-01      1.801e-01      1.504e-01      3.170e-02      
3.500e-02      8.620e-01      7.435e-01      6.361e-01      3.005e-01      1.835e-01      1.523e-01      3.137e-02      
4.000e-02      8.643e-01      7.462e-01      6.403e-01      3.053e-01      1.860e-01      1.532e-01      3.054e-02      
4.500e-02      8.662e-01      7.482e-01      6.433e-01      3.085e-01      1.873e-01      1.531e-01      2.923e-02      
5.000e-02      8.676e-01      7.495e-01      6.452e-01      3.101e-01      1.876e-01      1.522e-01      2.749e-02      
