resolution    Gd10Ba10Co80  Gd20Ba10Co70  Gd20Ba20Co60  Gd30Ba40Co30  Gd40Ba40Co20  Gd70Ba10Co20  Gd80Ba10Co10  
0.000e+00      8.486e-01      7.260e-01      6.080e-01      2.751e-01      1.604e-01      1.359e-01      2.863e-02      
2.000e-03      8.430e-01      7.178e-01      5.982e-01      2.650e-01      1.534e-01      1.307e-01      2.601e-02      
5.000e-03      8.479e-01      7.257e-01      6.079e-01      2.735e-01      1.600e-01      1.376e-01      2.934e-02      
1.000e-02      8.480e-01      7.256e-01      6.076e-01      2.729e-01      1.607e-01      1.378e-01      3.011e-02      
1.500e-02      8.479e-01      7.254e-01      6.072e-01      2.721e-01      1.606e-01      1.379e-01      3.086e-02      
2.000e-02      8.471e-01      7.242e-01      6.062e-01      2.711e-01      1.594e-01      1.372e-01      3.035e-02      
2.500e-02      8.460e-01      7.233e-01      6.050e-01      2.692e-01      1.592e-01      1.363e-01      2.883e-02      
3.000e-02      8.449e-01      7.220e-01      6.033e-01      2.673e-01      1.597e-01      1.357e-01      2.807e-02      
3.500e-02      8.438e-01      7.196e-01      6.014e-01      2.645e-01      1.607e-01      1.346e-01      2.840e-02      
4.000e-02      8.440e-01      7.195e-01      6.021e-01      2.636e-01      1.601e-01      1.349e-01      2.864e-02      
4.500e-02      8.464e-01      7.242e-01      6.069e-01      2.650e-01      1.605e-01      1.382e-01      2.791e-02      
5.000e-02      8.493e-01      7.305e-01      6.142e-01      2.759e-01      1.729e-01      1.468e-01      3.283e-02      
