E,eV	I,A
6432,07	7,3165E-12
6454,06	6,9629E-12
6476,05	8,4851E-12
6498,04	7,8615E-12
6520,03	8,001E-12
6542,02	8,1445E-12
6564,01	8,2196E-12
6586,01	7,1387E-12
6607,99	6,9806E-12
6629,98	8,2812E-12
6651,97	7,9238E-12
6673,96	8,4814E-12
6695,95	9,0786E-12
6717,95	9,6155E-12
6739,93	6,9746E-12
6761,92	8,5442E-12
6783,91	8,5408E-12
6805,91	6,2838E-12
6827,89	7,1728E-12
6849,88	8,7867E-12
6871,87	8,7233E-12
6893,86	9,1731E-12
6915,85	7,6106E-12
6937,84	1,15879E-11
6959,83	8,2171E-12
6981,82	8,1924E-12
7003,81	1,07852E-11
7025,8	8,7633E-12
7047,79	8,8972E-12
7069,78	9,3092E-12
7091,77	7,3307E-12
7113,76	1,18266E-11
7135,75	1,03534E-11
7157,74	9,9465E-12
7179,73	9,1651E-12
7201,72	8,2946E-12
7223,71	8,962E-12
7245,7	1,05029E-11
7267,69	1,07306E-11
7289,68	1,16848E-11
7311,68	1,21589E-11
7333,66	1,13623E-11
7355,65	9,4345E-12
7377,64	6,5757E-12
7399,63	6,6459E-12
7421,62	7,1176E-12
7443,61	7,7798E-12
7465,6	8,7942E-12
7487,59	7,6616E-12
7509,58	9,5568E-12
7531,57	7,7262E-12
7553,56	8,7484E-12
7575,55	1,00951E-11
7597,54	7,1718E-12
7619,53	1,09829E-11
7641,52	9,3027E-12
7663,51	5,4899E-12
7685,51	7,8996E-12
7707,49	6,8446E-12
7729,48	9,245E-12
7751,47	8,033E-12
7773,46	9,38E-12
7795,45	1,0177E-11
7817,45	1,03506E-11
7839,43	8,0869E-12
7861,42	8,1031E-12
7883,41	8,2302E-12
7905,41	9,8534E-12
7927,39	7,3632E-12
7949,38	9,2606E-12
7971,37	9,9541E-12
7993,36	4,9943E-12
8015,35	6,1843E-12
8037,34	9,5432E-12
8059,33	6,2485E-12
8081,32	8,5506E-12
8103,32	7,064E-12
8125,3	8,2782E-12
8147,29	7,6508E-12
8169,28	7,0871E-12
8191,27	8,1221E-12
8213,26	7,0334E-12
8235,26	7,493E-12
8257,24	7,4418E-12
8279,23	8,4461E-12
8301,22	9,2961E-12
8323,21	1,04732E-11
8345,2	8,9219E-12
8367,2	8,7245E-12
8389,18	6,8648E-12
8411,18	6,8638E-12
8433,16	1,02565E-11
8455,15	8,7841E-12
8477,15	7,2358E-12
8499,13	7,3014E-12
8521,12	5,9188E-12
8543,11	8,5293E-12
8565,1	8,2093E-12
8587,09	1,09574E-11
8609,09	8,7128E-12
8631,07	1,11573E-11
8653,06	8,3998E-12
8675,05	9,9902E-12
8697,04	9,3494E-12
8719,03	6,983E-12
8741,02	7,7863E-12
8763,01	8,2431E-12
8785	8,3352E-12
8806,99	1,06856E-11
8828,98	6,4887E-12
8850,98	9,7725E-12
8872,96	8,8516E-12
8894,95	1,04949E-11
8916,94	7,905E-12
8938,94	1,13522E-11
8960,92	8,0649E-12
8982,91	1,13594E-11
9004,9	9,6113E-12
9026,89	9,9718E-12
9048,89	7,5262E-12
9070,87	8,9537E-12
9092,86	1,10574E-11
9114,85	9,7617E-12
9136,84	1,07156E-11
9158,83	9,9419E-12
9180,82	9,5893E-12
9202,81	1,02865E-11
9224,8	9,4953E-12
9246,79	1,14833E-11
9268,78	1,36015E-11
9290,77	9,8123E-12
9312,77	1,15884E-11
9334,75	9,5584E-12
9356,74	1,22198E-11
9378,73	1,19486E-11
9400,72	1,01601E-11
9422,72	8,7872E-12
9444,7	1,20414E-11
9466,69	1,28804E-11
9488,69	9,4791E-12
9510,67	9,5526E-12
9532,66	1,53881E-11
9554,65	1,35678E-11
9576,65	9,3303E-12
9598,63	1,17839E-11
9620,62	1,22665E-11
9630,76	1,00011E-11
9648,08	1,1045E-11
9665,4	1,21228E-11
9682,72	1,41738E-11
9700,04	9,5977E-12
9717,37	1,11938E-11
9734,69	1,3802E-11
9752,01	1,23567E-11
9769,33	1,06736E-11
9786,65	1,18551E-11
9803,97	1,50976E-11
9821,3	1,24612E-11
9838,62	1,33881E-11
9855,94	1,21812E-11
9873,26	1,27434E-11
9890,58	1,52088E-11
9907,9	1,43423E-11
9925,22	1,50291E-11
9942,55	1,47894E-11
9959,87	1,12196E-11
9977,19	1,16753E-11
9994,51	1,33752E-11
10011,8	1,33007E-11
10029,2	1,36071E-11
10046,5	1,08364E-11
10063,8	1,624E-11
10081,1	1,28959E-11
10098,4	1,43894E-11
10115,8	1,40267E-11
10133,1	1,31196E-11
10150,4	1,47066E-11
10167,7	1,43625E-11
10185	1,08778E-11
10202,4	1,17789E-11
10219,7	1,05542E-11
10237	1,37663E-11
10254,3	1,16959E-11
10271,7	1,10806E-11
10289	1,70126E-11
10306,3	1,62174E-11
10323,6	1,46259E-11
10340,9	1,74144E-11
10358,3	1,17455E-11
10375,6	1,37804E-11
10392,9	1,85262E-11
10410,2	1,44133E-11
10427,6	1,43571E-11
10444,9	1,54718E-11
10462,2	1,88811E-11
10479,5	1,4123E-11
10496,8	1,78848E-11
10514,2	1,8291E-11
10531,5	1,85809E-11
10548,8	1,76586E-11
10566,1	1,36673E-11
10583,4	1,62956E-11
10600,8	1,49621E-11
10618,1	1,39253E-11
10635,4	1,51046E-11
10652,7	1,61226E-11
10670,1	1,91785E-11
10687,4	1,98032E-11
10704,7	1,82419E-11
10722	1,78427E-11
10739,3	2,00653E-11
10756,7	1,82425E-11
10774	1,80976E-11
10791,3	1,94877E-11
10808,6	1,68917E-11
10825,9	1,51298E-11
10843,3	1,70775E-11
10860,6	1,80316E-11
10877,9	2,05534E-11
10895,2	1,81852E-11
10912,6	1,90003E-11
10929,9	1,69697E-11
10947,2	1,92842E-11
10964,5	1,8656E-11
10981,8	1,87865E-11
10999,2	1,94766E-11
11016,5	1,56611E-11
11033,8	2,01039E-11
11051,1	2,04075E-11
11068,4	1,91054E-11
11085,8	1,96493E-11
11103,1	2,01939E-11
11120,4	1,60414E-11
11137,7	2,4569E-11
11155,1	1,81652E-11
11172,4	1,7335E-11
11189,7	1,87554E-11
11207	1,86548E-11
11224,3	2,0925E-11
11241,7	2,0969E-11
11259	1,89967E-11
11276,3	2,1035E-11
11293,6	2,2616E-11
11311	2,0362E-11
11328,3	1,90981E-11
11345,6	1,92545E-11
11362,9	1,948E-11
11380,2	2,7383E-11
11397,6	2,3825E-11
11414,9	2,4233E-11
11432,2	2,1271E-11
11449,5	2,0332E-11
11466,8	2,354E-11
11484,2	2,5823E-11
11501,5	2,299E-11
11518,8	2,5666E-11
11536,1	2,1741E-11
11553,5	2,3631E-11
11570,8	2,6222E-11
11588,1	2,6523E-11
11605,4	2,4865E-11
11622,7	2,1539E-11
11640,1	2,5268E-11
11657,4	2,3745E-11
11674,7	3,2391E-11
11692	2,6833E-11
11709,3	2,7276E-11
11726,7	2,6796E-11
11744	3,0674E-11
11761,3	2,6027E-11
11778,6	2,5406E-11
11796	2,8197E-11
11813,3	2,4322E-11
11830,6	2,3947E-11
11847,9	3,1632E-11
11865,2	2,9337E-11
11882,6	2,9473E-11
11899,9	2,73E-11
11917,2	3,1645E-11
11934,5	3,0512E-11
11951,9	3,437E-11
11969,2	3,0501E-11
11986,5	3,1986E-11
12003,8	3,4217E-11
12021,1	2,8132E-11
12038,5	3,5584E-11
12055,8	2,9995E-11
12073,1	2,9942E-11
12090,4	3,5144E-11
12107,7	2,9104E-11
12125,1	3,1852E-11
12142,4	3,0559E-11
12159,7	2,8967E-11
12177	2,8847E-11
12194,4	2,7031E-11
12211,7	2,5469E-11
12229	3,2006E-11
12246,3	3,3407E-11
12263,6	2,7373E-11
12281	3,1428E-11
12298,3	2,9979E-11
12315,6	2,6537E-11
12332,9	3,0327E-11
12350,2	3,6177E-11
12367,6	2,9048E-11
12384,9	3,3901E-11
12402,2	3,0556E-11
12419,5	3,7102E-11
12436,9	2,7567E-11
12454,2	3,7862E-11
12471,5	4,0248E-11
12488,8	4,2947E-11
12506,1	3,4059E-11
12523,5	3,7182E-11
12540,8	3,5965E-11
12558,1	4,0886E-11
12575,4	3,5094E-11
12592,7	3,7903E-11
12610,1	3,6581E-11
12627,4	3,4405E-11
12644,7	3,6014E-11
12662	4,0905E-11
12679,4	3,784E-11
12696,7	3,9932E-11
12714	4,4656E-11
12731,3	4,1379E-11
12748,6	3,9999E-11
12766	4,4034E-11
12783,3	4,0983E-11
12800,6	4,0404E-11
12817,9	3,9729E-11
12835,3	4,1969E-11
12852,6	4,0605E-11
12869,9	3,9398E-11
12887,2	4,3259E-11
12904,5	4,1277E-11
12921,9	3,9499E-11
12939,2	4,0621E-11
12956,5	4,3717E-11
12973,8	3,9805E-11
12991,1	4,4051E-11
13008,5	4,8625E-11
13025,8	4,315E-11
13043,1	4,441E-11
13060,4	4,7665E-11
13077,8	4,9136E-11
13095,1	4,4563E-11
13112,4	4,7576E-11
13129,7	4,7847E-11
13147	4,4872E-11
13164,4	4,2307E-11
13181,7	4,0604E-11
13199	4,6136E-11
13216,3	4,9214E-11
13233,6	4,594E-11
13251	5,056E-11
13268,3	5,6003E-11
13285,6	5,1651E-11
13302,9	4,8773E-11
13320,3	4,8864E-11
13337,6	5,7052E-11
13354,9	5,7446E-11
13372,2	5,0224E-11
13389,5	5,6714E-11
13406,9	5,233E-11
13424,2	5,4129E-11
13441,5	5,6618E-11
13458,8	5,2936E-11
13476,1	5,6076E-11
13493,5	4,8725E-11
13510,8	5,8399E-11
13528,1	5,5853E-11
13545,4	5,6591E-11
13562,8	5,8047E-11
13580,1	5,5475E-11
13597,4	5,7305E-11
13614,7	5,5806E-11
13632	5,5833E-11
13649,4	5,881E-11
13666,7	6,1407E-11
13684	6,5326E-11
13701,3	6,5163E-11
13718,7	5,8732E-11
13736	6,3492E-11
13753,3	5,8117E-11
13770,6	6,1717E-11
13787,9	7,0694E-11
13805,3	6,6555E-11
13822,6	6,4636E-11
13839,9	7,9511E-11
13857,2	7,5042E-11
13874,5	6,8808E-11
13891,9	7,8042E-11
13909,2	6,2931E-11
13926,5	7,192E-11
13943,8	6,8328E-11
13961,2	7,6578E-11
13978,5	7,4445E-11
13995,8	7,2496E-11
14013,1	8,0509E-11
14030,4	8,4672E-11
14047,8	9,2385E-11
14065,1	8,6297E-11
14082,4	8,5924E-11
14099,7	8,1245E-11
14117	7,3948E-11
14134,4	8,9722E-11
14151,7	8,0775E-11
14169	8,6211E-11
14186,3	8,4993E-11
14203,7	8,8603E-11
14221	1,01042E-10
14238,3	9,5824E-11
14255,6	8,8901E-11
14272,9	1,01241E-10
14290,3	9,479E-11
14307,6	9,8102E-11
14324,9	1,13762E-10
