E,eV	I,A
7498,59	4,7151E-10
7520,58	4,1774E-10
7542,57	4,2255E-10
7564,56	3,9128E-10
7586,55	3,6017E-10
7608,54	4,0115E-10
7630,53	4,3616E-10
7652,52	4,52E-10
7674,51	4,7603E-10
7696,5	4,7516E-10
7718,49	4,7231E-10
7740,48	4,6265E-10
7762,47	5,2136E-10
7784,46	4,606E-10
7806,45	4,8766E-10
7828,44	5,5782E-10
7850,43	5,0522E-10
7872,42	5,0627E-10
7894,41	5,6504E-10
7916,4	5,3836E-10
7938,39	5,0396E-10
7960,38	4,8275E-10
7982,37	4,8811E-10
8004,36	5,0306E-10
8026,35	4,6751E-10
8048,34	4,6337E-10
8070,33	5,5765E-10
8092,32	5,9768E-10
8114,31	5,5209E-10
8136,3	5,0646E-10
8158,29	5,4773E-10
8180,28	5,2684E-10
8202,27	4,8836E-10
8224,26	5,4853E-10
8246,25	4,4416E-10
8268,24	5,8777E-10
8290,23	5,6638E-10
8312,22	6,5621E-10
8334,21	6,0631E-10
8356,2	5,8084E-10
8378,19	6,2447E-10
8400,18	6,5661E-10
8422,17	6,1572E-10
8444,16	5,9906E-10
8466,15	6,2842E-10
8488,14	6,6893E-10
8510,13	6,2149E-10
8532,12	6,0839E-10
8554,11	6,3413E-10
8576,1	6,679E-10
8598,09	6,2981E-10
8620,08	6,6447E-10
8642,07	6,6008E-10
8664,06	7,1389E-10
8686,05	7,3734E-10
8708,04	7,0908E-10
8730,03	6,9079E-10
8752,02	6,9715E-10
8774,01	6,6434E-10
8796	7,2478E-10
8817,99	6,8988E-10
8839,98	6,9719E-10
8861,97	7,3028E-10
8883,96	6,9687E-10
8905,95	6,4963E-10
8927,94	7,4317E-10
8949,93	6,9675E-10
8971,92	7,2323E-10
8993,91	6,9087E-10
9015,9	7,522E-10
9037,89	6,6637E-10
9059,88	6,9427E-10
9081,87	7,6809E-10
9103,86	7,3416E-10
9125,85	7,0323E-10
9147,84	6,9876E-10
9169,83	7,4647E-10
9191,82	7,7692E-10
9213,81	6,647E-10
9235,8	7,6445E-10
9257,79	7,6981E-10
9279,78	7,2956E-10
9301,77	7,5477E-10
9323,76	7,1443E-10
9345,75	6,6388E-10
9367,74	7,7069E-10
9389,73	7,2369E-10
9411,72	7,4749E-10
9433,71	7,4102E-10
9455,7	7,3111E-10
9477,69	8,0705E-10
9499,68	8,7065E-10
9521,67	7,6829E-10
9543,66	8,0573E-10
9565,65	7,6176E-10
9587,64	7,7573E-10
9609,63	7,4669E-10
9622,1	8,1359E-10
9639,42	8,1184E-10
9656,74	7,6286E-10
9674,06	8,0942E-10
9691,38	7,8871E-10
9708,7	8,3841E-10
9726,03	8,9119E-10
9743,35	9,131E-10
9760,67	8,3373E-10
9777,99	8,8042E-10
9795,31	8,9376E-10
9812,63	9,1816E-10
9829,96	8,9217E-10
9847,28	9,0349E-10
9864,6	9,1012E-10
9881,92	8,7472E-10
9899,24	9,0416E-10
9916,56	7,8006E-10
9933,89	7,8103E-10
9951,21	7,9266E-10
9968,53	7,2965E-10
9985,85	7,4249E-10
10003,2	6,8933E-10
10020,5	6,5691E-10
10037,8	7,2281E-10
10055,1	6,945E-10
10072,5	5,8806E-10
10089,8	5,8832E-10
10107,1	6,3732E-10
10124,4	5,8647E-10
10141,7	6,2267E-10
10159,1	6,1094E-10
10176,4	6,1354E-10
10193,7	6,0963E-10
10211	6,0136E-10
10228,4	6,267E-10
10245,7	5,9604E-10
10263	6,3993E-10
10280,3	5,9386E-10
10297,6	5,8628E-10
10315	5,6942E-10
10332,3	5,6361E-10
10349,6	5,1591E-10
10366,9	5,7424E-10
10384,2	5,7416E-10
10401,6	5,8343E-10
10418,9	6,0439E-10
10436,2	5,6729E-10
10453,5	6,074E-10
10470,9	5,6583E-10
10488,2	6,0666E-10
10505,5	5,4563E-10
10522,8	5,7277E-10
10540,1	5,8604E-10
10557,5	6,1135E-10
10574,8	6,3366E-10
10592,1	5,8954E-10
10609,4	5,8291E-10
10626,7	6,0926E-10
10644,1	5,7728E-10
10661,4	7,0337E-10
10678,7	6,674E-10
10696	6,7897E-10
10713,4	7,2681E-10
10730,7	7,1714E-10
10748	7,4199E-10
10765,3	7,1583E-10
10782,6	6,3051E-10
10800	6,6059E-10
10817,3	5,4551E-10
10834,6	4,5386E-10
10851,9	3,7174E-10
10869,3	2,6984E-10
10886,6	1,32402E-10
10903,9	1,92711E-10
10921,2	1,39411E-10
10938,5	9,2531E-11
10955,9	5,4188E-11
10973,2	3,2894E-11
10990,5	1,30333E-11
11007,8	1,26077E-11
11025,1	7,893E-12
11042,5	8,4413E-12
11059,8	7,3673E-12
11077,1	7,5819E-12
11094,4	7,4981E-12
11111,8	7,2973E-12
11129,1	6,555E-12
11146,4	6,433E-12
11163,7	7,4677E-12
11181	6,4615E-12
11198,4	7,2536E-12
11215,7	6,5518E-12
11233	6,2088E-12
11250,3	6,3897E-12
11267,6	6,2031E-12
11285	6,4936E-12
11302,3	6,5571E-12
11319,6	6,2665E-12
11336,9	6,2864E-12
11354,3	6,0919E-12
11371,6	6,689E-12
11388,9	6,9298E-12
11406,2	6,4636E-12
11423,5	6,6073E-12
11440,9	6,2119E-12
11458,2	7,1131E-12
11475,5	6,5811E-12
