Energy,keV spectrum_int fitted_spectrum  get_elastic_partAu get_inelastic_partAu get_elastic_partPd get_inelastic_partPd  
1.2400e-01 -1.507e-04 1.944e-05 3.881e-06 8.665e-127 1.658e-05 4.413e-64
1.2600e-01 -2.877e-04 1.945e-05 3.882e-06 1.104e-125 1.659e-05 1.575e-63
1.2800e-01 -2.497e-04 1.945e-05 3.883e-06 1.326e-124 1.659e-05 5.452e-63
1.3000e-01 -8.385e-05 1.946e-05 3.885e-06 1.502e-123 1.660e-05 1.834e-62
1.3200e-01 1.237e-04 1.947e-05 3.886e-06 1.610e-122 1.660e-05 6.002e-62
1.3400e-01 3.093e-04 1.947e-05 3.887e-06 1.637e-121 1.660e-05 1.913e-61
1.3600e-01 4.732e-04 1.948e-05 3.888e-06 1.581e-120 1.661e-05 5.940e-61
1.3800e-01 6.152e-04 1.948e-05 3.889e-06 1.453e-119 1.661e-05 1.800e-60
1.4000e-01 7.353e-04 1.949e-05 3.890e-06 1.273e-118 1.662e-05 5.325e-60
1.4200e-01 8.336e-04 1.949e-05 3.891e-06 1.065e-117 1.662e-05 1.540e-59
1.4400e-01 9.101e-04 1.950e-05 3.892e-06 8.525e-117 1.663e-05 4.354e-59
1.4600e-01 9.647e-04 1.950e-05 3.893e-06 6.538e-116 1.663e-05 1.205e-58
1.4800e-01 9.974e-04 1.951e-05 3.894e-06 4.810e-115 1.664e-05 3.267e-58
1.5000e-01 1.008e-03 1.952e-05 3.895e-06 3.400e-114 1.664e-05 8.681e-58
1.5200e-01 9.974e-04 1.952e-05 3.896e-06 2.312e-113 1.665e-05 2.263e-57
1.5400e-01 9.647e-04 1.953e-05 3.898e-06 1.514e-112 1.665e-05 5.788e-57
1.5600e-01 9.101e-04 1.953e-05 3.899e-06 9.565e-112 1.666e-05 1.454e-56
1.5800e-01 8.336e-04 1.954e-05 3.900e-06 5.833e-111 1.666e-05 3.590e-56
1.6000e-01 7.353e-04 1.954e-05 3.901e-06 3.439e-110 1.667e-05 8.712e-56
1.6200e-01 6.152e-04 1.955e-05 3.902e-06 1.961e-109 1.667e-05 2.080e-55
1.6400e-01 4.732e-04 1.955e-05 3.903e-06 1.083e-108 1.668e-05 4.886e-55
1.6600e-01 3.093e-04 1.956e-05 3.904e-06 5.803e-108 1.668e-05 1.130e-54
1.6800e-01 1.237e-04 1.957e-05 3.905e-06 3.016e-107 1.669e-05 2.576e-54
1.7000e-01 -8.385e-05 1.957e-05 3.906e-06 1.522e-106 1.669e-05 5.785e-54
1.7200e-01 -2.922e-04 1.958e-05 3.907e-06 7.470e-106 1.670e-05 1.281e-53
1.7400e-01 -4.384e-04 1.958e-05 3.908e-06 3.566e-105 1.670e-05 2.798e-53
1.7600e-01 -4.384e-04 1.959e-05 3.910e-06 1.658e-104 1.671e-05 6.030e-53
1.7800e-01 -2.922e-04 1.959e-05 3.911e-06 7.507e-104 1.671e-05 1.283e-52
1.8000e-01 -8.385e-05 1.960e-05 3.912e-06 3.315e-103 1.671e-05 2.694e-52
1.8200e-01 1.237e-04 1.960e-05 3.913e-06 1.428e-102 1.672e-05 5.591e-52
1.8400e-01 3.093e-04 1.961e-05 3.914e-06 6.009e-102 1.672e-05 1.146e-51
1.8600e-01 4.732e-04 1.962e-05 3.915e-06 2.470e-101 1.673e-05 2.324e-51
1.8800e-01 6.152e-04 1.962e-05 3.916e-06 9.927e-101 1.673e-05 4.656e-51
1.9000e-01 7.353e-04 1.963e-05 3.917e-06 3.902e-100 1.674e-05 9.229e-51
1.9200e-01 8.336e-04 1.963e-05 3.918e-06 1.501e-99 1.674e-05 1.810e-50
1.9400e-01 9.101e-04 1.964e-05 3.919e-06 5.658e-99 1.675e-05 3.512e-50
1.9600e-01 9.647e-04 1.964e-05 3.920e-06 2.089e-98 1.675e-05 6.746e-50
1.9800e-01 9.974e-04 1.965e-05 3.922e-06 7.561e-98 1.676e-05 1.283e-49
2.0000e-01 1.008e-03 1.966e-05 3.923e-06 2.685e-97 1.676e-05 2.417e-49
2.0200e-01 9.974e-04 1.966e-05 3.924e-06 9.353e-97 1.677e-05 4.510e-49
2.0400e-01 9.647e-04 1.967e-05 3.925e-06 3.199e-96 1.677e-05 8.338e-49
2.0600e-01 9.101e-04 1.967e-05 3.926e-06 1.075e-95 1.678e-05 1.528e-48
2.0800e-01 7.486e-04 1.968e-05 3.927e-06 3.548e-95 1.678e-05 2.775e-48
2.1000e-01 5.189e-04 1.968e-05 3.928e-06 1.151e-94 1.679e-05 4.998e-48
2.1200e-01 3.413e-04 1.969e-05 3.929e-06 3.675e-94 1.679e-05 8.927e-48
2.1400e-01 2.941e-04 1.969e-05 3.930e-06 1.154e-93 1.680e-05 1.581e-47
2.1600e-01 3.319e-04 1.970e-05 3.931e-06 3.566e-93 1.680e-05 2.779e-47
2.1800e-01 3.277e-04 1.971e-05 3.933e-06 1.085e-92 1.681e-05 4.847e-47
2.2000e-01 2.815e-04 1.971e-05 3.934e-06 3.251e-92 1.681e-05 8.388e-47
2.2200e-01 2.568e-04 1.972e-05 3.935e-06 9.599e-92 1.682e-05 1.441e-46
2.2400e-01 3.398e-04 1.972e-05 3.936e-06 2.793e-91 1.682e-05 2.457e-46
2.2600e-01 5.775e-04 1.973e-05 3.937e-06 8.014e-91 1.683e-05 4.161e-46
2.2800e-01 7.664e-04 1.973e-05 3.938e-06 2.267e-90 1.683e-05 6.997e-46
2.3000e-01 8.694e-04 1.974e-05 3.939e-06 6.328e-90 1.684e-05 1.169e-45
2.3200e-01 9.097e-04 1.975e-05 3.940e-06 1.743e-89 1.684e-05 1.939e-45
2.3400e-01 9.299e-04 1.975e-05 3.941e-06 4.738e-89 1.684e-05 3.196e-45
2.3600e-01 9.299e-04 1.976e-05 3.942e-06 1.272e-88 1.685e-05 5.235e-45
2.3800e-01 9.097e-04 1.976e-05 3.944e-06 3.371e-88 1.685e-05 8.522e-45
2.4000e-01 8.694e-04 1.977e-05 3.945e-06 8.828e-88 1.686e-05 1.379e-44
