E,eV	I,A
7432,62	1,75633E-10
7454,61	1,77929E-10
7476,6	1,7363E-10
7498,59	1,63191E-10
7520,58	1,61977E-10
7542,57	1,56759E-10
7564,56	1,61964E-10
7586,55	1,64247E-10
7608,54	1,67647E-10
7630,53	1,70884E-10
7652,52	1,79476E-10
7674,51	1,80701E-10
7696,5	1,76232E-10
7718,49	1,88866E-10
7740,48	1,88051E-10
7762,47	1,90991E-10
7784,46	1,92576E-10
7806,45	1,95166E-10
7828,44	1,7974E-10
7850,43	1,25043E-10
7872,42	1,99389E-10
7894,41	2,02099E-10
7916,4	2,05876E-10
7938,39	1,96714E-10
7960,38	1,93866E-10
7982,37	2,0897E-10
8004,36	1,18549E-10
8026,35	1,93342E-10
8048,34	1,99468E-10
8070,33	2,07114E-10
8092,32	2,05792E-10
8114,31	2,00927E-10
8136,3	2,02857E-10
8158,29	2,081E-10
8180,28	2,1597E-10
8202,27	2,5499E-10
8224,26	1,42087E-10
8246,25	2,8966E-10
8268,24	2,2398E-10
8290,23	2,2888E-10
8312,22	2,0518E-10
8334,21	2,4087E-10
8356,2	2,539E-10
8378,19	2,4349E-10
8400,18	2,4575E-10
8422,17	2,4215E-10
8444,16	2,2666E-10
8466,15	2,7731E-10
8488,14	2,4823E-10
8510,13	2,5018E-10
8532,12	2,6154E-10
8554,11	2,6149E-10
8576,1	2,4523E-10
8598,09	2,4726E-10
8620,08	2,5497E-10
8642,07	2,4626E-10
8664,06	2,8511E-10
8686,05	2,8055E-10
8708,04	2,9978E-10
8730,03	2,8707E-10
8752,02	3,2694E-10
8774,01	3,2087E-10
8796	3,1027E-10
8817,99	2,6656E-10
8839,98	3,0442E-10
8861,97	3,636E-10
8883,96	3,0628E-10
8905,95	3,1983E-10
8927,94	2,7494E-10
8949,93	3,103E-10
8971,92	2,9178E-10
8993,91	2,3222E-10
9015,9	2,8812E-10
9037,89	2,965E-10
9059,88	2,4251E-10
9081,87	2,9005E-10
9103,86	2,9883E-10
9125,85	3,186E-10
9147,84	3,2162E-10
9169,83	2,8714E-10
9191,82	3,4309E-10
9213,81	3,1866E-10
9235,8	2,9068E-10
9257,79	3,01E-10
9279,78	3,1016E-10
9301,77	3,597E-10
9323,76	3,1297E-10
9345,75	3,6847E-10
9367,74	2,9119E-10
9389,73	3,1601E-10
9411,72	2,4517E-10
9433,71	3,2942E-10
9455,7	3,2176E-10
9477,69	2,8514E-10
9499,68	3,0671E-10
9521,67	3,1473E-10
9543,66	3,7246E-10
9565,65	3,1237E-10
9587,64	3,3267E-10
9609,63	3,244E-10
9622,1	3,6113E-10
9639,42	3,326E-10
9656,74	3,4478E-10
9674,06	3,2104E-10
9691,38	3,5592E-10
9708,7	3,4269E-10
9726,03	3,6515E-10
9743,35	3,2739E-10
9760,67	3,1958E-10
9777,99	3,4532E-10
9795,31	3,2779E-10
9812,63	3,942E-10
9829,96	4,1183E-10
9847,28	3,3159E-10
9864,6	3,7524E-10
9881,92	3,5023E-10
9899,24	3,9511E-10
9916,56	3,3669E-10
9933,89	3,7411E-10
9951,21	3,1987E-10
9968,53	3,2015E-10
9985,85	3,0427E-10
10003,2	2,7881E-10
10020,5	2,9713E-10
10037,8	3,1501E-10
10055,1	2,7454E-10
10072,5	2,5674E-10
10089,8	2,9898E-10
10107,1	3,4694E-10
10124,4	3,2599E-10
10141,7	3,2887E-10
10159,1	3,164E-10
10176,4	2,8273E-10
10193,7	3,1744E-10
10211	3,0795E-10
10228,4	2,9468E-10
10245,7	2,7931E-10
10263	3,3188E-10
