0,00 2,000
5,00 0,000
10,00 0,000
15,00 0,000
20,00 0,000
25,00 0,000
30,00 0,000
35,00 0,000
40,00 0,000
45,00 0,000
50,00 0,000
55,00 0,000
60,00 0,000
65,00 0,000
70,00 0,000
75,00 0,000
80,00 0,000
85,00 0,000
90,00 0,000
95,00 1,000
100,00 0,000
105,00 0,000
110,00 0,000
115,00 0,000
120,00 0,000
125,00 0,000
130,00 0,000
135,00 0,000
140,00 0,000
145,00 0,000
150,00 1,000
155,00 0,000
160,00 0,000
165,00 0,000
170,00 0,000
175,00 0,000
180,00 0,000
185,00 0,000
190,00 0,000
195,00 0,000
200,00 1,000
205,00 0,000
210,00 0,000
215,00 0,000
220,00 0,000
225,00 0,000
230,00 0,000
235,00 1,000
240,00 0,000
245,00 0,000
250,00 0,000
255,00 0,000
260,00 0,000
265,00 0,000
270,00 0,000
275,00 0,000
280,00 0,000
285,00 0,000
290,00 0,000
295,00 0,000
300,00 0,000
305,00 0,000
310,00 0,000
315,00 0,000
320,00 0,000
325,00 0,000
330,00 0,000
335,00 0,000
340,00 0,000
345,00 1,000
350,00 1,000
355,00 0,000
360,00 0,000
365,00 2,000
370,00 0,000
375,00 0,000
380,00 0,000
385,00 2,000
390,00 0,000
395,00 0,000
400,00 0,000
405,00 0,000
410,00 0,000
415,00 0,000
420,00 1,000
425,00 0,000
430,00 0,000
435,00 1,000
440,00 0,000
445,00 0,000
450,00 0,000
455,00 0,000
460,00 0,000
465,00 1,000
470,00 2,000
475,00 0,000
480,00 0,000
485,00 1,000
490,00 1,000
495,00 0,000
500,00 1,000
505,00 0,000
510,00 0,000
515,00 0,000
520,00 0,000
525,00 0,000
530,00 1,000
535,00 1,000
540,00 1,000
545,00 0,000
550,00 0,000
555,00 1,000
560,00 0,000
565,00 0,000
570,00 0,000
575,00 0,000
580,00 0,000
585,00 0,000
590,00 0,000
595,00 2,000
600,00 0,000
605,00 1,000
610,00 1,000
615,00 1,000
620,00 0,000
625,00 0,000
630,00 1,000
635,00 0,000
640,00 0,000
645,00 0,000
650,00 0,000
655,00 1,000
660,00 0,000
665,00 0,000
670,00 1,000
675,00 0,000
680,00 0,000
685,00 0,000
690,00 0,000
695,00 1,000
700,00 0,000
705,00 0,000
710,00 0,000
715,00 0,000
720,00 0,000
725,00 0,000
730,00 1,000
735,00 2,000
740,00 0,000
745,00 0,000
750,00 0,000
755,00 0,000
760,00 0,000
765,00 0,000
770,00 1,000
775,00 0,000
780,00 1,000
785,00 0,000
790,00 1,000
795,00 0,000
800,00 0,000
805,00 0,000
810,00 1,000
815,00 0,000
820,00 0,000
825,00 0,000
830,00 0,000
835,00 0,000
840,00 0,000
845,00 1,000
850,00 3,000
855,00 0,000
860,00 1,000
865,00 0,000
870,00 0,000
875,00 2,000
880,00 1,000
885,00 0,000
890,00 0,000
895,00 0,000
900,00 2,000
905,00 0,000
910,00 0,000
915,00 1,000
920,00 0,000
925,00 0,000
930,00 0,000
935,00 0,000
940,00 0,000
945,00 0,000
950,00 0,000
955,00 2,000
960,00 1,000
965,00 0,000
970,00 0,000
975,00 0,000
980,00 0,000
985,00 0,000
990,00 0,000
995,00 1,000
1000,00 1,000
1005,00 1,000
1010,00 0,000
1015,00 0,000
1020,00 0,000
1025,00 0,000
1030,00 1,000
1035,00 2,000
1040,00 0,000
1045,00 1,000
1050,00 0,000
1055,00 0,000
1060,00 0,000
1065,00 1,000
1070,00 0,000
1075,00 0,000
1080,00 0,000
1085,00 2,000
1090,00 0,000
1095,00 0,000
1100,00 0,000
1105,00 0,000
1110,00 0,000
1115,00 0,000
1120,00 0,000
1125,00 0,000
1130,00 1,000
1135,00 0,000
1140,00 0,000
1145,00 1,000
1150,00 0,000
1155,00 1,000
1160,00 0,000
1165,00 0,000
1170,00 1,000
1175,00 0,000
1180,00 0,000
1185,00 2,000
1190,00 0,000
1195,00 0,000
1200,00 0,000
1205,00 0,000
1210,00 0,000
1215,00 0,000
1220,00 3,000
1225,00 0,000
1230,00 0,000
1235,00 0,000
1240,00 3,000
