resolution    W0Cr100       W100Cr0       W10Cr90       W30Cr70       W50Cr50       W60Cr40       W70Cr30       W90Cr10       
0.000e+00      9.873e-01      0.000e+00      8.961e-01      7.094e-01      5.166e-01      3.991e-01      3.520e-01      1.968e-01      
2.000e-03      9.870e-01      0.000e+00      8.940e-01      7.079e-01      5.149e-01      4.011e-01      3.491e-01      1.938e-01      
5.000e-03      9.874e-01      0.000e+00      8.982e-01      7.117e-01      5.132e-01      3.962e-01      3.524e-01      1.782e-01      
1.000e-02      9.869e-01      0.000e+00      9.011e-01      7.082e-01      5.166e-01      3.903e-01      3.211e-01      1.441e-01      
1.500e-02      9.861e-01      0.000e+00      9.039e-01      6.980e-01      5.040e-01      3.882e-01      3.105e-01      1.320e-01      
2.000e-02      9.852e-01      0.000e+00      9.010e-01      6.956e-01      4.961e-01      3.875e-01      3.100e-01      1.225e-01      
2.500e-02      9.824e-01      0.000e+00      8.960e-01      6.898e-01      4.932e-01      3.792e-01      3.131e-01      1.149e-01      
3.000e-02      9.825e-01      0.000e+00      8.947e-01      6.926e-01      4.985e-01      3.795e-01      3.118e-01      1.084e-01      
3.500e-02      9.784e-01      0.000e+00      8.910e-01      6.986e-01      5.051e-01      3.821e-01      3.173e-01      1.108e-01      
4.000e-02      9.802e-01      0.000e+00      8.900e-01      6.997e-01      5.089e-01      3.882e-01      3.255e-01      1.184e-01      
4.500e-02      9.802e-01      0.000e+00      8.855e-01      7.002e-01      5.110e-01      3.900e-01      3.299e-01      1.226e-01      
5.000e-02      9.761e-01      0.000e+00      8.806e-01      6.916e-01      5.076e-01      3.912e-01      3.306e-01      1.234e-01      
