E,eV	N,part
6560	1
6570	0
6580	0
6590	0
6600	1
6610	1
6620	1
6630	1
6640	0
6650	1
6660	1
6670	2
6680	1
6690	1
6700	1
6710	0
6720	0
6730	1
6740	0
6750	0
6760	1
6770	0
6780	1
6790	1
6800	1
6810	1
6820	0
6830	1
6840	0
6850	0
6860	0
6870	2
6880	0
6890	0
6900	2
6910	0
6920	0
6930	0
6940	0
6950	0
6960	1
6970	0
6980	1
6990	1
7000	2
7010	0
7020	1
7030	0
7040	0
7050	0
7060	0
7070	2
7080	0
7090	0
7100	0
7110	0
7120	0
7130	1
7140	0
7150	0
7160	1
7170	0
7180	1
7190	0
7200	1
7210	2
7220	0
7230	1
7240	1
7250	1
7260	0
7270	0
7280	1
7290	2
7300	0
7310	0
7320	2
7330	0
7340	0
7350	1
7360	1
7370	2
7380	0
7390	1
7400	0
7410	0
7420	1
7430	1
7440	1
7450	3
7460	1
7470	1
7480	1
7490	0
7500	2
7510	0
7520	0
7530	1
7540	1
7550	1
7560	0
7570	0
7580	3
7590	4
7600	2
7610	1
7620	3
7630	2
7640	1
7650	2
7660	1
7670	3
7680	1
7690	3
7700	1
7710	1
7720	0
7730	1
7740	2
7750	1
7760	0
7770	2
7780	1
7790	0
7800	0
7810	0
7820	1
7830	1
7840	4
7850	2
7860	1
7870	2
7880	2
7890	2
7900	2
7910	0
7920	2
7930	2
7940	4
7950	1
7960	8
7970	2
7980	2
7990	1
8000	5
8010	2
8020	2
8030	5
8040	2
8050	5
8060	4
8070	2
8080	7
8090	6
8100	6
8110	16
8120	14
8130	11
8140	11
8150	17
8160	25
8170	37
8180	31
8190	66
8200	51
8210	48
8220	62
8230	45
8240	44
8250	42
8260	55
8270	53
8280	55
8290	52
8300	41
8310	49
8320	56
8330	43
8340	47
8350	44
8360	55
8370	50
8380	54
8390	53
8400	44
8410	50
8420	50
8430	43
8440	46
8450	59
8460	44
8470	48
8480	52
8490	47
8500	53
8510	49
8520	60
8530	59
8540	51
8550	34
8560	45
8570	52
8580	47
8590	34
8600	43
8610	48
8620	42
8630	47
8640	40
8650	38
8660	40
8670	41
8680	50
8690	36
8700	32
8710	13
8720	9
8730	9
8740	8
8750	3
8760	4
8770	3
8780	2
8790	3
8800	2
8810	3
8820	5
8830	1
8840	2
8850	0
8860	1
8870	0
8880	1
8890	1
8900	2
8910	3
8920	1
8930	1
8940	0
8950	1
8960	0
8970	0
8980	1
8990	5
9000	1
9010	0
9020	1
9030	1
9040	1
9050	1
9060	1
9070	0
9080	0
9090	1
9100	0
9110	0
9120	2
9130	0
9140	0
9150	1
9160	0
9170	1
9180	1
9190	1
9200	0
9210	1
9220	0
9230	1
9240	0
9250	0
9260	0
9270	1
9280	0
9290	0
9300	0
9310	0
9320	1
9330	0
9340	0
9350	0
9360	1
9370	0
9380	0
9390	0
9400	1
9410	0
9420	0
9430	0
9440	0
9450	1
9460	0
9470	0
9480	0
9490	1
9500	0
9510	0
9520	0
9530	0
9540	0
9550	0
9560	1
9570	0
9580	1
9590	0
9600	0
9610	0
9620	0
9630	0
9640	0
9650	0
9660	0
9670	0
9680	0
9690	0
9700	0
9710	0
9720	0
9730	0
9740	0
9750	0
9760	0
9770	0
9780	0
9790	0
9800	0
9810	0
9820	0
9830	0
9840	0
9850	0
9860	0
9870	0
9880	0
9890	0
9900	0
9910	0
9920	0
9930	0
9940	0
9950	1
9960	2
9970	1
9980	1
9990	0
10000	2
10010	0
10020	0
10030	0
10040	0
10050	1
10060	0
10070	0
10080	0
10090	0
10100	0
10110	0
10120	0
10130	1
10140	0
10150	0
10160	0
10170	2
10180	0
10190	0
10200	0
10210	1
10220	1
10230	0
10240	0
10250	0
10260	0
10270	0
10280	0
10290	1
10300	0
10310	0
10320	0
10330	0
10340	0
10350	0
10360	0
10370	0
10380	0
10390	0
10400	0
10410	0
10420	0
10430	1
10440	0
10450	0
10460	0
10470	1
10480	0
10490	0
10500	0
10510	0
10520	0
10530	0
10540	0
10550	2
10560	0
10570	0
10580	0
10590	0
10600	0
10610	1
10620	0
10630	0
10640	0
10650	0
10660	0
10670	0
10680	0
10690	1
10700	0
10710	1
10720	0
10730	0
10740	0
10750	0
10760	0
10770	0
10780	0
10790	0
10800	0
10810	0
10820	0
10830	0
10840	0
10850	0
10860	0
10870	0
10880	0
10890	0
10900	1
10910	0
