E,eV	dN/dE,part/eV
0	65104
10	26095
20	18317
30	18297
40	13385
50	10834
60	8745
70	7477
80	6330
90	5461
100	4904
110	4235
120	4057
130	3356
140	3051
150	2922
160	2525
170	2358
180	2221
190	2034
200	1908
210	1778
220	1569
230	1549
240	1398
250	1318
260	1293
270	1202
280	1103
290	1129
300	1068
310	985
320	983
330	866
340	831
350	855
360	770
370	816
380	724
390	695
400	650
410	603
420	632
430	567
440	572
450	588
460	507
470	512
480	472
490	484
500	521
510	450
520	460
530	421
540	410
550	425
560	384
570	391
580	345
590	378
600	369
610	376
620	344
630	327
640	310
650	321
660	312
670	268
680	269
690	285
700	286
710	273
720	264
730	264
740	292
750	249
760	222
770	253
780	250
790	240
800	243
810	235
820	220
830	257
840	203
850	199
860	183
870	216
880	174
890	180
900	147
910	199
920	160
930	164
940	165
950	168
960	192
970	176
980	172
990	155
1000	124
1010	155
1020	148
1030	136
1040	155
1050	138
1060	158
1070	165
1080	140
1090	129
1100	141
1110	114
1120	124
1130	139
1140	112
1150	131
1160	121
1170	142
1180	138
1190	129
1200	113
1210	102
1220	113
1230	96
1240	103
1250	113
1260	122
1270	118
1280	107
1290	121
1300	125
1310	131
1320	117
1330	154
1340	171
1350	211
1360	199
1370	216
1380	193
1390	185
1400	174
1410	167
1420	170
1430	113
1440	101
1450	101
1460	86
1470	77
1480	83
1490	97
1500	80
1510	101
1520	91
1530	81
1540	56
1550	76
1560	87
1570	69
1580	78
1590	71
1600	82
1610	65
1620	70
1630	55
1640	84
1650	80
1660	60
1670	70
1680	56
1690	56
1700	66
1710	58
1720	56
1730	55
1740	66
1750	53
1760	55
1770	65
1780	56
1790	54
1800	59
1810	61
1820	60
1830	38
1840	59
1850	57
1860	54
1870	53
1880	41
1890	47
1900	46
1910	47
1920	60
1930	42
1940	53
1950	52
1960	55
1970	45
1980	44
1990	40
2000	35
2010	47
2020	44
2030	40
2040	49
2050	53
2060	41
2070	42
2080	55
2090	42
2100	53
2110	37
2120	35
2130	47
2140	44
2150	30
2160	38
2170	47
2180	29
2190	44
2200	26
2210	37
2220	40
2230	45
2240	33
2250	38
2260	47
2270	32
2280	29
2290	44
2300	29
2310	30
2320	27
2330	32
2340	26
2350	29
2360	34
2370	44
2380	35
2390	45
2400	39
2410	27
2420	41
2430	31
2440	34
2450	34
2460	38
2470	37
2480	43
2490	40
2500	42
2510	40
2520	46
2530	41
2540	54
2550	39
2560	45
2570	63
2580	57
2590	53
2600	66
2610	60
2620	46
2630	48
2640	47
2650	50
2660	43
2670	41
2680	43
2690	38
2700	36
2710	45
2720	31
2730	29
2740	31
2750	26
2760	32
2770	32
2780	27
2790	27
2800	33
2810	25
2820	32
2830	22
2840	30
2850	23
2860	24
2870	26
2880	24
2890	20
2900	31
2910	17
2920	39
2930	23
2940	32
2950	20
2960	35
2970	35
2980	23
2990	23
3000	19
3010	21
3020	19
3030	24
3040	23
3050	25
3060	32
3070	23
3080	21
3090	17
3100	21
3110	24
3120	18
3130	23
3140	14
3150	17
3160	15
3170	18
3180	22
3190	19
3200	21
3210	21
3220	15
3230	19
3240	14
3250	29
3260	25
3270	26
3280	17
3290	20
3300	17
3310	21
3320	25
3330	22
3340	17
3350	23
3360	16
3370	16
3380	16
3390	14
3400	18
3410	26
3420	21
3430	18
3440	16
3450	18
3460	19
3470	13
3480	22
3490	21
3500	16
3510	20
3520	19
3530	13
3540	17
3550	23
3560	21
3570	26
3580	14
3590	15
3600	13
3610	15
3620	22
3630	19
3640	17
3650	12
3660	18
3670	19
3680	24
3690	17
3700	21
3710	17
3720	15
3730	17
3740	15
3750	18
3760	19
3770	26
3780	15
3790	14
3800	16
3810	11
3820	18
3830	16
3840	12
3850	17
3860	16
3870	16
3880	18
3890	14
3900	11
3910	17
3920	16
3930	16
3940	9
3950	12
3960	17
3970	18
3980	17
3990	15
4000	13
4010	13
4020	20
4030	11
4040	10
4050	10
4060	11
4070	14
4080	15
4090	16
4100	10
4110	14
4120	16
4130	10
4140	19
4150	14
4160	20
4170	17
4180	16
4190	12
4200	14
4210	10
4220	13
4230	10
4240	12
4250	12
4260	17
4270	13
4280	15
4290	14
4300	14
4310	11
4320	9
4330	12
4340	15
4350	16
4360	13
4370	12
4380	13
4390	13
4400	11
4410	11
4420	16
4430	14
4440	13
4450	15
4460	17
4470	10
4480	13
4490	17
4500	15
4510	6
4520	8
4530	13
4540	12
4550	12
4560	21
4570	15
4580	13
4590	13
4600	12
4610	6
4620	11
4630	16
4640	11
4650	10
4660	11
4670	13
4680	15
4690	15
4700	10
4710	17
4720	16
4730	10
4740	10
4750	10
4760	15
4770	5
4780	14
4790	9
4800	11
4810	10
4820	5
4830	13
4840	17
4850	8
4860	10
4870	20
4880	17
4890	11
4900	9
4910	20
4920	12
4930	10
4940	7
4950	16
4960	5
4970	11
4980	17
4990	6
5000	15
5010	15
5020	9
5030	13
5040	12
5050	6
5060	11
5070	14
5080	7
5090	10
5100	11
5110	7
5120	17
5130	10
5140	12
5150	13
5160	15
5170	5
5180	9
5190	9
5200	12
5210	11
5220	12
5230	8
5240	12
5250	11
5260	10
5270	14
5280	11
5290	7
5300	12
5310	10
5320	4
5330	9
5340	10
5350	8
5360	8
5370	10
5380	14
5390	9
5400	7
5410	13
5420	7
5430	15
5440	16
5450	10
5460	11
5470	13
5480	11
5490	7
5500	8
5510	12
5520	10
5530	13
5540	7
5550	13
5560	10
5570	13
5580	10
5590	12
5600	10
5610	14
5620	10
5630	6
5640	14
5650	10
5660	11
5670	9
5680	13
5690	8
5700	11
5710	16
5720	13
5730	15
5740	4
5750	12
5760	13
5770	7
5780	11
5790	8
5800	4
5810	7
5820	7
5830	11
5840	10
5850	8
5860	10
5870	20
5880	9
5890	7
5900	12
5910	17
5920	8
5930	16
5940	8
5950	16
5960	16
5970	12
5980	10
5990	12
6000	15
6010	9
6020	14
6030	15
6040	14
6050	20
6060	16
6070	14
6080	7
6090	15
6100	15
6110	15
6120	9
6130	7
6140	14
6150	12
6160	13
6170	15
6180	15
6190	7
6200	15
6210	11
6220	12
6230	15
6240	17
6250	13
6260	15
6270	11
6280	11
6290	9
6300	11
6310	14
6320	10
6330	13
6340	15
6350	14
6360	16
6370	15
6380	7
6390	12
6400	7
6410	17
6420	10
6430	7
6440	11
6450	11
6460	10
6470	13
6480	11
6490	14
6500	19
6510	9
6520	15
6530	17
6540	17
6550	13
6560	21
6570	9
6580	18
6590	9
6600	17
6610	12
6620	15
6630	18
6640	12
6650	14
6660	16
6670	17
6680	22
6690	15
